Using cpu device
Logging to train_data/AgriControl/ppo/deterministic/logs/effortless-sea-71/PPO_0
----------------------------------
| rollout/           |           |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.009291914 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.92       |
|    explained_variance   | 0.978       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.495      |
|    n_updates            | 144         |
|    policy_gradient_loss | -0.0111     |
|    std                  | 1.07        |
|    value_loss           | 0.0058      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.98e+03   |
|    ep_rew_mean          | 1889.8916  |
| time/                   |            |
|    fps                  | 1125       |
|    iterations           | 20         |
|    time_elapsed         | 291        |
|    total_timesteps      | 327680     |
| train/                  |            |
|    approx_kl            | 0.00926164 |
|    clip_fraction        | 0.109      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.94      |
|    explained_variance   | 0.979      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.49      |
|    n_updates            | 152        |
|    policy_gradient_loss | -0.0117    |
|    std                  | 1.07       |
|    value_loss           | 0.00518    |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.03e+03     |
|    ep_rew_mean          | 1936.0911    |
| time/                   |              |
|    fps                  | 1129         |
|    iterations           | 21           |
|    time_elapsed         | 304          |
|    total_timesteps      | 344064       |
| train/                  |              |
|    approx_kl            | 0.0087882625 |
|    clip_fraction        | 0.103        |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.95        |
|    explained_variance   | 0.973        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.5         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0102      |
|    std                  | 1.08         |
|    value_loss           | 0.0082       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.19e+03    |
|    ep_rew_mean          | 2069.2732   |
| time/                   |             |
|    fps                  | 1133        |
|    iterations           | 22          |
|    time_elapsed         | 318         |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.008719137 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.97       |
|    explained_variance   | 0.979       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.465      |
|    n_updates            | 168         |
|    policy_gradient_loss | -0.0082     |
|    std                  | 1.08        |
|    value_loss           | 0.00583     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.3e+03     |
|    ep_rew_mean          | 2144.4004   |
| time/                   |             |
|    fps                  | 1137        |
|    iterations           | 23          |
|    time_elapsed         | 331         |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.009483587 |
|    clip_fraction        | 0.0977      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.99       |
|    explained_variance   | 0.963       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.503      |
|    n_updates            | 176         |
|    policy_gradient_loss | -0.00781    |
|    std                  | 1.08        |
|    value_loss           | 0.0118      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.45e+03   |
|    ep_rew_mean          | 2266.3662  |
| time/                   |            |
|    fps                  | 1138       |
|    iterations           | 24         |
|    time_elapsed         | 345        |
|    total_timesteps      | 393216     |
| train/                  |            |
|    approx_kl            | 0.00807509 |
|    clip_fraction        | 0.0886     |
|    clip_range           | 0.2        |
|    entropy_loss         | -9         |
|    explained_variance   | 0.989      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.503     |
|    n_updates            | 184        |
|    policy_gradient_loss | -0.00986   |
|    std                  | 1.09       |
|    value_loss           | 0.00357    |
----------------------------------------
Eval num_timesteps=400000, episode_reward=3913.62 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | 11.5        |
|    co2_cost             | 9.44e-06    |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 3.82        |
|    heat_cost            | 1.68        |
|    mean_reward          | 3.91e+03    |
|    revenue              | 13.1        |
|    rh_violation         | 593         |
|    temp_violation       | 368         |
|    variable_costs       | 1.68        |
| time/                   |             |
|    total_timesteps      | 400000      |
| train/                  |             |
|    approx_kl            | 0.008963222 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.02       |
|    explained_variance   | 0.974       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.433      |
|    n_updates            | 192         |
|    policy_gradient_loss | -0.00984    |
|    std                  | 1.09        |
|    value_loss           | 0.00817     |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 3.63e+03  |
|    ep_rew_mean     | 2413.4856 |
| time/              |           |
|    fps             | 1115      |
|    iterations      | 25        |
|    time_elapsed    | 367       |
|    total_timesteps | 409600    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.68e+03    |
|    ep_rew_mean          | 2457.2432   |
| time/                   |             |
|    fps                  | 1111        |
|    iterations           | 26          |
|    time_elapsed         | 383         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.008419992 |
|    clip_fraction        | 0.089       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.04       |
|    explained_variance   | 0.987       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.506      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0084     |
|    std                  | 1.09        |
|    value_loss           | 0.00465     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.86e+03    |
|    ep_rew_mean          | 2599.2063   |
| time/                   |             |
|    fps                  | 1110        |
|    iterations           | 27          |
|    time_elapsed         | 398         |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.008586496 |
|    clip_fraction        | 0.0885      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.06       |
|    explained_variance   | 0.981       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.503      |
|    n_updates            | 208         |
|    policy_gradient_loss | -0.008      |
|    std                  | 1.1         |
|    value_loss           | 0.00565     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.94e+03    |
|    ep_rew_mean          | 2684.8315   |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 28          |
|    time_elapsed         | 415         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.008499109 |
|    clip_fraction        | 0.0982      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.07       |
|    explained_variance   | 0.98        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.5        |
|    n_updates            | 216         |
|    policy_gradient_loss | -0.00716    |
|    std                  | 1.1         |
|    value_loss           | 0.00512     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.05e+03    |
|    ep_rew_mean          | 2766.2437   |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 29          |
|    time_elapsed         | 429         |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.008146176 |
|    clip_fraction        | 0.0943      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.09       |
|    explained_variance   | 0.989       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.51       |
|    n_updates            | 224         |
|    policy_gradient_loss | -0.00856    |
|    std                  | 1.1         |
|    value_loss           | 0.0042      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.19e+03    |
|    ep_rew_mean          | 2875.6907   |
| time/                   |             |
|    fps                  | 1106        |
|    iterations           | 30          |
|    time_elapsed         | 444         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.007951358 |
|    clip_fraction        | 0.0822      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.11       |
|    explained_variance   | 0.986       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.508      |
|    n_updates            | 232         |
|    policy_gradient_loss | -0.00742    |
|    std                  | 1.11        |
|    value_loss           | 0.00481     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.27e+03    |
|    ep_rew_mean          | 2938.4282   |
| time/                   |             |
|    fps                  | 1107        |
|    iterations           | 31          |
|    time_elapsed         | 458         |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.008493617 |
|    clip_fraction        | 0.0841      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.13       |
|    explained_variance   | 0.99        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.483      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00863    |
|    std                  | 1.11        |
|    value_loss           | 0.0031      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.34e+03    |
|    ep_rew_mean          | 3008.6555   |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 32          |
|    time_elapsed         | 474         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.008200823 |
|    clip_fraction        | 0.0971      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.14       |
|    explained_variance   | 0.992       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 248         |
|    policy_gradient_loss | -0.00903    |
|    std                  | 1.11        |
|    value_loss           | 0.00272     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.45e+03    |
|    ep_rew_mean          | 3093.375    |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 33          |
|    time_elapsed         | 489         |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.008193458 |
|    clip_fraction        | 0.0967      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.16       |
|    explained_variance   | 0.969       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.507      |
|    n_updates            | 256         |
|    policy_gradient_loss | -0.0079     |
|    std                  | 1.12        |
|    value_loss           | 0.00982     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.53e+03    |
|    ep_rew_mean          | 3176.708    |
| time/                   |             |
|    fps                  | 1102        |
|    iterations           | 34          |
|    time_elapsed         | 505         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.008528648 |
|    clip_fraction        | 0.0947      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.18       |
|    explained_variance   | 0.987       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.511      |
|    n_updates            | 264         |
|    policy_gradient_loss | -0.00761    |
|    std                  | 1.12        |
|    value_loss           | 0.00257     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.6e+03     |
|    ep_rew_mean          | 3235.3445   |
| time/                   |             |
|    fps                  | 1104        |
|    iterations           | 35          |
|    time_elapsed         | 519         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.009045592 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.19       |
|    explained_variance   | 0.983       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.517      |
|    n_updates            | 272         |
|    policy_gradient_loss | -0.00811    |
|    std                  | 1.12        |
|    value_loss           | 0.00472     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.63e+03    |
|    ep_rew_mean          | 3257.1982   |
| time/                   |             |
|    fps                  | 1105        |
|    iterations           | 36          |
|    time_elapsed         | 533         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.007643216 |
|    clip_fraction        | 0.0791      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.21       |
|    explained_variance   | 0.993       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.488      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00681    |
|    std                  | 1.13        |
|    value_loss           | 0.0022      |
-----------------------------------------
Eval num_timesteps=600000, episode_reward=3934.24 +/- 0.00
----------------------------------------
| eval/                   |            |
|    EPI                  | 11.4       |
|    co2_cost             | 0          |
|    co2_violation        | 0          |
|    elec_cost            | 0          |
|    fixed_costs          | 3.82       |
|    heat_cost            | 1.78       |
|    mean_reward          | 3.93e+03   |
|    revenue              | 13.2       |
|    rh_violation         | 349        |
|    temp_violation       | 271        |
|    variable_costs       | 1.78       |
| time/                   |            |
|    total_timesteps      | 600000     |
| train/                  |            |
|    approx_kl            | 0.00888988 |
|    clip_fraction        | 0.0983     |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.23      |
|    explained_variance   | 0.992      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.522     |
|    n_updates            | 288        |
|    policy_gradient_loss | -0.00863   |
|    std                  | 1.13       |
|    value_loss           | 0.0023     |
----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/effortless-sea-71/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 4.71e+03  |
|    ep_rew_mean     | 3332.7793 |
| time/              |           |
|    fps             | 1091      |
|    iterations      | 37        |
|    time_elapsed    | 555       |
|    total_timesteps | 606208    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.71e+03    |
|    ep_rew_mean          | 3346.8826   |
| time/                   |             |
|    fps                  | 1094        |
|    iterations           | 38          |
|    time_elapsed         | 568         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.007990182 |
|    clip_fraction        | 0.0874      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.25       |
|    explained_variance   | 0.994       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.527      |
|    n_updates            | 296         |
|    policy_gradient_loss | -0.00789    |
|    std                  | 1.13        |
|    value_loss           | 0.00234     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.77e+03     |
|    ep_rew_mean          | 3396.9497    |
| time/                   |              |
|    fps                  | 1097         |
|    iterations           | 39           |
|    time_elapsed         | 582          |
|    total_timesteps      | 638976       |
| train/                  |              |
|    approx_kl            | 0.0077383947 |
|    clip_fraction        | 0.0874       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.26        |
|    explained_variance   | 0.994        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.5         |
|    n_updates            | 304          |
|    policy_gradient_loss | -0.00797     |
|    std                  | 1.14         |
|    value_loss           | 0.00206      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.82e+03    |
|    ep_rew_mean          | 3446.549    |
| time/                   |             |
|    fps                  | 1100        |
|    iterations           | 40          |
|    time_elapsed         | 595         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.008532662 |
|    clip_fraction        | 0.092       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.28       |
|    explained_variance   | 0.984       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.519      |
|    n_updates            | 312         |
|    policy_gradient_loss | -0.00708    |
|    std                  | 1.14        |
|    value_loss           | 0.00527     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.84e+03     |
|    ep_rew_mean          | 3464.3147    |
| time/                   |              |
|    fps                  | 1104         |
|    iterations           | 41           |
|    time_elapsed         | 608          |
|    total_timesteps      | 671744       |
| train/                  |              |
|    approx_kl            | 0.0079680905 |
|    clip_fraction        | 0.0882       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.3         |
|    explained_variance   | 0.995        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.513       |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00797     |
|    std                  | 1.14         |
|    value_loss           | 0.00205      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
