Using cpu device
Logging to train_data/AgriControl/ppo/deterministic/logs/elated-flower-74/PPO_0
------------------------------
| time/              |       |
|    ep_rew_mean          | 2116.463   |
| time/                   |            |
|    fps                  | 1361       |
|    iterations           | 6          |
|    time_elapsed         | 72         |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.01031671 |
|    clip_fraction        | 0.136      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.67      |
|    explained_variance   | 0.545      |
|    learning_rate        | 2e-05      |
|    loss                 | -0.451     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0159    |
|    std                  | 1.03       |
|    value_loss           | 0.0354     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2116.463    |
| time/                   |             |
|    fps                  | 1349        |
|    iterations           | 7           |
|    time_elapsed         | 84          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.009488702 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.7        |
|    explained_variance   | 0.664       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.451      |
|    n_updates            | 48          |
|    policy_gradient_loss | -0.015      |
|    std                  | 1.03        |
|    value_loss           | 0.055       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2116.463    |
| time/                   |             |
|    fps                  | 1346        |
|    iterations           | 8           |
|    time_elapsed         | 97          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.010720178 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.73       |
|    explained_variance   | 0.53        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.469      |
|    n_updates            | 56          |
|    policy_gradient_loss | -0.0167     |
|    std                  | 1.04        |
|    value_loss           | 0.023       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2370.1106   |
| time/                   |             |
|    fps                  | 1263        |
|    iterations           | 9           |
|    time_elapsed         | 116         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.010253389 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.75       |
|    explained_variance   | 0.529       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.479      |
|    n_updates            | 64          |
|    policy_gradient_loss | -0.0161     |
|    std                  | 1.04        |
|    value_loss           | 0.0268      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2370.1106   |
| time/                   |             |
|    fps                  | 1210        |
|    iterations           | 10          |
|    time_elapsed         | 135         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.010992139 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.78       |
|    explained_variance   | 0.64        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.481      |
|    n_updates            | 72          |
|    policy_gradient_loss | -0.0154     |
|    std                  | 1.05        |
|    value_loss           | 0.0392      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.76e+03     |
|    ep_rew_mean          | 2370.1106    |
| time/                   |              |
|    fps                  | 1194         |
|    iterations           | 11           |
|    time_elapsed         | 150          |
|    total_timesteps      | 180224       |
| train/                  |              |
|    approx_kl            | 0.0096015055 |
|    clip_fraction        | 0.113        |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.8         |
|    explained_variance   | 0.487        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.489       |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0148      |
|    std                  | 1.05         |
|    value_loss           | 0.0188       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2541.4177   |
| time/                   |             |
|    fps                  | 1183        |
|    iterations           | 12          |
|    time_elapsed         | 166         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.010333227 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.82       |
|    explained_variance   | 0.573       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.466      |
|    n_updates            | 88          |
|    policy_gradient_loss | -0.0158     |
|    std                  | 1.06        |
|    value_loss           | 0.0212      |
-----------------------------------------
Eval num_timesteps=200000, episode_reward=3473.54 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | -3.33       |
|    co2_cost             | 0           |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 4.13        |
|    heat_cost            | 4.4         |
|    mean_reward          | 3.47e+03    |
|    revenue              | 1.07        |
|    rh_violation         | 697         |
|    temp_violation       | 126         |
|    variable_costs       | 4.4         |
| time/                   |             |
|    total_timesteps      | 200000      |
| train/                  |             |
|    approx_kl            | 0.010325274 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.85       |
|    explained_variance   | 0.702       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.466      |
|    n_updates            | 96          |
|    policy_gradient_loss | -0.0145     |
|    std                  | 1.06        |
|    value_loss           | 0.0255      |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/elated-flower-74/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 5.76e+03  |
|    ep_rew_mean     | 2541.4177 |
| time/              |           |
|    fps             | 1140      |
|    iterations      | 13        |
|    time_elapsed    | 186       |
|    total_timesteps | 212992    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2541.4177   |
| time/                   |             |
|    fps                  | 1157        |
|    iterations           | 14          |
|    time_elapsed         | 198         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.009573741 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.87       |
|    explained_variance   | 0.687       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.482      |
|    n_updates            | 104         |
|    policy_gradient_loss | -0.0147     |
|    std                  | 1.06        |
|    value_loss           | 0.0138      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2681.037    |
| time/                   |             |
|    fps                  | 1164        |
|    iterations           | 15          |
|    time_elapsed         | 210         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.009003912 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.89       |
|    explained_variance   | 0.42        |
|    learning_rate        | 2e-05       |
|    loss                 | -0.497      |
|    n_updates            | 112         |
|    policy_gradient_loss | -0.0131     |
|    std                  | 1.07        |
|    value_loss           | 0.00982     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2681.037    |
| time/                   |             |
|    fps                  | 1169        |
|    iterations           | 16          |
|    time_elapsed         | 224         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.010370126 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.92       |
|    explained_variance   | 0.822       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.495      |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0134     |
|    std                  | 1.07        |
|    value_loss           | 0.0115      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2790.7688   |
| time/                   |             |
|    fps                  | 1155        |
|    iterations           | 17          |
|    time_elapsed         | 241         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.008644796 |
|    clip_fraction        | 0.0972      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.94       |
|    explained_variance   | 0.612       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.5        |
|    n_updates            | 128         |
|    policy_gradient_loss | -0.0105     |
|    std                  | 1.07        |
|    value_loss           | 0.00727     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2790.7688   |
| time/                   |             |
|    fps                  | 1162        |
|    iterations           | 18          |
|    time_elapsed         | 253         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.007636722 |
|    clip_fraction        | 0.0803      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.96       |
|    explained_variance   | 0.762       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.456      |
|    n_updates            | 136         |
|    policy_gradient_loss | -0.00859    |
|    std                  | 1.08        |
|    value_loss           | 0.0176      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2790.7688   |
| time/                   |             |
|    fps                  | 1160        |
|    iterations           | 19          |
|    time_elapsed         | 268         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.008531721 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.98       |
|    explained_variance   | 0.905       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.501      |
|    n_updates            | 144         |
|    policy_gradient_loss | -0.0116     |
|    std                  | 1.08        |
|    value_loss           | 0.0038      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2877.0447   |
| time/                   |             |
|    fps                  | 1158        |
|    iterations           | 20          |
|    time_elapsed         | 282         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.008208801 |
|    clip_fraction        | 0.0868      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9          |
|    explained_variance   | 0.741       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.483      |
|    n_updates            | 152         |
|    policy_gradient_loss | -0.00933    |
|    std                  | 1.09        |
|    value_loss           | 0.00602     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2877.0447   |
| time/                   |             |
|    fps                  | 1144        |
|    iterations           | 21          |
|    time_elapsed         | 300         |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.008421576 |
|    clip_fraction        | 0.0958      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.01       |
|    explained_variance   | 0.826       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.482      |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00773    |
|    std                  | 1.09        |
|    value_loss           | 0.0132      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2877.0447   |
| time/                   |             |
|    fps                  | 1146        |
|    iterations           | 22          |
|    time_elapsed         | 314         |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.008134277 |
|    clip_fraction        | 0.0851      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.04       |
|    explained_variance   | 0.857       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.499      |
|    n_updates            | 168         |
|    policy_gradient_loss | -0.00955    |
|    std                  | 1.09        |
|    value_loss           | 0.00379     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2946.2563   |
| time/                   |             |
|    fps                  | 1148        |
|    iterations           | 23          |
|    time_elapsed         | 327         |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.008353023 |
|    clip_fraction        | 0.0924      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.06       |
|    explained_variance   | 0.811       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.499      |
|    n_updates            | 176         |
|    policy_gradient_loss | -0.0087     |
|    std                  | 1.1         |
|    value_loss           | 0.00405     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 2946.2563   |
| time/                   |             |
|    fps                  | 1155        |
|    iterations           | 24          |
|    time_elapsed         | 340         |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.008744605 |
|    clip_fraction        | 0.0852      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.08       |
|    explained_variance   | 0.846       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.492      |
|    n_updates            | 184         |
|    policy_gradient_loss | -0.00642    |
|    std                  | 1.1         |
|    value_loss           | 0.0111      |
-----------------------------------------
Eval num_timesteps=400000, episode_reward=3539.60 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    EPI                  | -2.17       |
|    co2_cost             | 0           |
|    co2_violation        | 0           |
|    elec_cost            | 0           |
|    fixed_costs          | 4.13        |
|    heat_cost            | 3.49        |
|    mean_reward          | 3.54e+03    |
|    revenue              | 1.32        |
|    rh_violation         | 509         |
|    temp_violation       | 185         |
|    variable_costs       | 3.49        |
| time/                   |             |
|    total_timesteps      | 400000      |
| train/                  |             |
|    approx_kl            | 0.008265568 |
|    clip_fraction        | 0.0989      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.1        |
|    explained_variance   | 0.884       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.514      |
|    n_updates            | 192         |
|    policy_gradient_loss | -0.00967    |
|    std                  | 1.11        |
|    value_loss           | 0.00331     |
-----------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/elated-flower-74/best_vecnormalize.pkl
-----------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 5.76e+03  |
|    ep_rew_mean     | 2946.2563 |
| time/              |           |
|    fps             | 1134      |
|    iterations      | 25        |
|    time_elapsed    | 360       |
|    total_timesteps | 409600    |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3002.9739   |
| time/                   |             |
|    fps                  | 1140        |
|    iterations           | 26          |
|    time_elapsed         | 373         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.008630301 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.13       |
|    explained_variance   | 0.748       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.513      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00916    |
|    std                  | 1.11        |
|    value_loss           | 0.00353     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3002.9739   |
| time/                   |             |
|    fps                  | 1130        |
|    iterations           | 27          |
|    time_elapsed         | 391         |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.009202938 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.15       |
|    explained_variance   | 0.869       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.462      |
|    n_updates            | 208         |
|    policy_gradient_loss | -0.00748    |
|    std                  | 1.11        |
|    value_loss           | 0.00798     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3002.9739   |
| time/                   |             |
|    fps                  | 1118        |
|    iterations           | 28          |
|    time_elapsed         | 409         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.007226305 |
|    clip_fraction        | 0.0859      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.17       |
|    explained_variance   | 0.898       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.504      |
|    n_updates            | 216         |
|    policy_gradient_loss | -0.00794    |
|    std                  | 1.12        |
|    value_loss           | 0.00329     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3050.266    |
| time/                   |             |
|    fps                  | 1115        |
|    iterations           | 29          |
|    time_elapsed         | 426         |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.008764911 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.19       |
|    explained_variance   | 0.697       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.49       |
|    n_updates            | 224         |
|    policy_gradient_loss | -0.00804    |
|    std                  | 1.12        |
|    value_loss           | 0.00325     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.76e+03     |
|    ep_rew_mean          | 3050.266     |
| time/                   |              |
|    fps                  | 1103         |
|    iterations           | 30           |
|    time_elapsed         | 445          |
|    total_timesteps      | 491520       |
| train/                  |              |
|    approx_kl            | 0.0076033715 |
|    clip_fraction        | 0.0849       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.21        |
|    explained_variance   | 0.904        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.518       |
|    n_updates            | 232          |
|    policy_gradient_loss | -0.00469     |
|    std                  | 1.13         |
|    value_loss           | 0.00573      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3090.2927   |
| time/                   |             |
|    fps                  | 1099        |
|    iterations           | 31          |
|    time_elapsed         | 462         |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.006621862 |
|    clip_fraction        | 0.0751      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.23       |
|    explained_variance   | 0.845       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.531      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0067     |
|    std                  | 1.13        |
|    value_loss           | 0.00325     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.76e+03     |
|    ep_rew_mean          | 3090.2927    |
| time/                   |              |
|    fps                  | 1093         |
|    iterations           | 32           |
|    time_elapsed         | 479          |
|    total_timesteps      | 524288       |
| train/                  |              |
|    approx_kl            | 0.0085579865 |
|    clip_fraction        | 0.0982       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.25        |
|    explained_variance   | 0.891        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.511       |
|    n_updates            | 248          |
|    policy_gradient_loss | -0.00738     |
|    std                  | 1.13         |
|    value_loss           | 0.00683      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.76e+03     |
|    ep_rew_mean          | 3090.2927    |
| time/                   |              |
|    fps                  | 1089         |
|    iterations           | 33           |
|    time_elapsed         | 496          |
|    total_timesteps      | 540672       |
| train/                  |              |
|    approx_kl            | 0.0076344144 |
|    clip_fraction        | 0.0965       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.27        |
|    explained_variance   | 0.938        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.512       |
|    n_updates            | 256          |
|    policy_gradient_loss | -0.00803     |
|    std                  | 1.14         |
|    value_loss           | 0.00294      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3124.3542   |
| time/                   |             |
|    fps                  | 1078        |
|    iterations           | 34          |
|    time_elapsed         | 516         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.007578008 |
|    clip_fraction        | 0.0774      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.29       |
|    explained_variance   | 0.825       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.508      |
|    n_updates            | 264         |
|    policy_gradient_loss | -0.00688    |
|    std                  | 1.14        |
|    value_loss           | 0.00272     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3124.3542   |
| time/                   |             |
|    fps                  | 1074        |
|    iterations           | 35          |
|    time_elapsed         | 533         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.008311907 |
|    clip_fraction        | 0.0903      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.31       |
|    explained_variance   | 0.906       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.515      |
|    n_updates            | 272         |
|    policy_gradient_loss | -0.00633    |
|    std                  | 1.14        |
|    value_loss           | 0.00566     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5.76e+03     |
|    ep_rew_mean          | 3124.3542    |
| time/                   |              |
|    fps                  | 1062         |
|    iterations           | 36           |
|    time_elapsed         | 555          |
|    total_timesteps      | 589824       |
| train/                  |              |
|    approx_kl            | 0.0071033323 |
|    clip_fraction        | 0.0849       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.33        |
|    explained_variance   | 0.941        |
|    learning_rate        | 2e-05        |
|    loss                 | -0.534       |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00731     |
|    std                  | 1.15         |
|    value_loss           | 0.00183      |
------------------------------------------
Eval num_timesteps=600000, episode_reward=3546.20 +/- 0.00
------------------------------------------
| eval/                   |              |
|    EPI                  | -1.71        |
|    co2_cost             | 0            |
|    co2_violation        | 0            |
|    elec_cost            | 0            |
|    fixed_costs          | 4.13         |
|    heat_cost            | 3.01         |
|    mean_reward          | 3.55e+03     |
|    revenue              | 1.3          |
|    rh_violation         | 805          |
|    temp_violation       | 127          |
|    variable_costs       | 3.01         |
| time/                   |              |
|    total_timesteps      | 600000       |
| train/                  |              |
|    approx_kl            | 0.0074201226 |
|    clip_fraction        | 0.0881       |
|    clip_range           | 0.2          |
|    entropy_loss         | -9.35        |
|    explained_variance   | 0.78         |
|    learning_rate        | 2e-05        |
|    loss                 | -0.505       |
|    n_updates            | 288          |
|    policy_gradient_loss | -0.00794     |
|    std                  | 1.15         |
|    value_loss           | 0.00288      |
------------------------------------------
New best mean reward!
-----------------------
Saving VecNormalize to train_data/AgriControl/ppo/deterministic/envs/elated-flower-74/best_vecnormalize.pkl
-----------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 5.76e+03 |
|    ep_rew_mean     | 3206.712 |
| time/              |          |
|    fps             | 1036     |
|    iterations      | 37       |
|    time_elapsed    | 584      |
|    total_timesteps | 606208   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3206.712    |
| time/                   |             |
|    fps                  | 1034        |
|    iterations           | 38          |
|    time_elapsed         | 601         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.009380886 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.37       |
|    explained_variance   | 0.917       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.53       |
|    n_updates            | 296         |
|    policy_gradient_loss | -0.00759    |
|    std                  | 1.16        |
|    value_loss           | 0.00514     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3206.712    |
| time/                   |             |
|    fps                  | 1031        |
|    iterations           | 39          |
|    time_elapsed         | 619         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.008051306 |
|    clip_fraction        | 0.0905      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.39       |
|    explained_variance   | 0.938       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.522      |
|    n_updates            | 304         |
|    policy_gradient_loss | -0.0084     |
|    std                  | 1.16        |
|    value_loss           | 0.0018      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3319.5903   |
| time/                   |             |
|    fps                  | 1024        |
|    iterations           | 40          |
|    time_elapsed         | 639         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.008870482 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.41       |
|    explained_variance   | 0.843       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.53       |
|    n_updates            | 312         |
|    policy_gradient_loss | -0.00982    |
|    std                  | 1.16        |
|    value_loss           | 0.00325     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3319.5903   |
| time/                   |             |
|    fps                  | 1022        |
|    iterations           | 41          |
|    time_elapsed         | 656         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.008549845 |
|    clip_fraction        | 0.0935      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.43       |
|    explained_variance   | 0.937       |
|    learning_rate        | 2e-05       |
|    loss                 | -0.523      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00655    |
|    std                  | 1.17        |
|    value_loss           | 0.00358     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.76e+03    |
|    ep_rew_mean          | 3319.5903   |
| time/                   |             |
|    fps                  | 1015        |
|    iterations           | 42          |
|    time_elapsed         | 677         |
